NAME_x0020_OF_x0020_FUNGUS	AUTHORS	SPECIFIC_x0020_EPITHET	INFRASPECIFIC_x0020_RANK	TYPIFICATION_x0020_DETAILS	HOST	LOCATION	VOLUME	PAGE	PART	YEAR_x0020_OF_x0020_PUBLICATION	EDITORIAL_x0020_COMMENT	NOMENCLATURAL_x0020_COMMENT	CORRECTION	PUBLISHED_x0020_LIST_x0020_REFERENCE	PUBLISHING_x0020_AUTHORS	LITERATURE_x0020_LINK	BSM_x0020_LINK	RECORD_x0020_NUMBER	BASIONYM_x0020_RECORD_x0020_NUMBER	PROTONYM_x0020_RECORD_x0020_NUMBER	NAME_x0020_OF_x0020_FUNGUS_x0020_FUNDIC_x0020_RECORD_x0020_NUMBER	CURRENT_x0020_NAME	CURRENT_x0020_NAME_x0020_RECORD_x0020_NUMBER	CURRENT_x0020_NAME_x0020_FUNDIC_x0020_RECORD_x0020_NUMBER	GSD_x0020_FLAG	TAXONOMIC_x0020_REFEREE	UpdatedBy	UpdatedDate	UUID	BaseURL	pubLink	pubType	pubOriginalTitle	pubEdition	pubPlaceOfPublication	pubISBN	pubISSN	pubIMIAbbr	pubPublishers	pubAcceptedTitle	Genus_x0020_name	Family_x0020_name	Order_x0020_name	Subclass_x0020_name	Class_x0020_name	Subphylum_x0020_name	Phylum_x0020_name	Kingdom_x0020_name	Authors1	Volume1	Page1	Year_x0020_of_x0020_Publication1	Day_x0020__x0026__x0020_Month_x0020_of_x0020_Publication	Literature_x0020_Link1	ING_x0020_NCU_x0020_Record_x0020_Number	Fundic_x0020_Record_x0020_Number	NCU_x0020_Flag	Current_x0020_Use	IsUnique	FUNINDEX_x0020_Record_x0020_Number_x0020_of_x0020_type_x0020_species	UpdatedBy1	UpdatedDate1	timestamp
Galera hapala subsp. hapala	(Fr.) Sacc.	hapala	subsp.							1887	ORTHOGRAPHIC VARIANT RECORD - please do not try to interpret any data on this page or on any of the linked pages							421535	463458	463458	17629		537922				sa	2020-01-08T08:53:25.99+00:00	32465c8b-51b0-4a3d-912d-af860d1bae2d												Galera	Hymenogastraceae	Agaricales	Agaricomycetidae	Agaricomycetes	Agaricomycotina	Basidiomycota	Fungi	(Fr.) P. Kumm.		21	1871		7691	2310000	17629		X	y	463451	EGHAM_SQL\KIRK	2004-06-25T14:57:08+01:00	AAAAAAhmp9g=
Thyrsidium hederaecolum var. hederaecolum	(De Not.) Durieu & Mont.	hederaecolum	var.							1848	ORTHOGRAPHIC VARIANT RECORD - please do not try to interpret any data on this page or on any of the linked pages				Durieu			421556	534990	534990	10229		534991				sa	2020-01-08T08:53:26+00:00	a584d157-0dfe-4471-9d88-ab9041a3745c												Thyrsidium	Mollisiaceae	Helotiales	Leotiomycetidae	Leotiomycetes	Pezizomycotina	Ascomycota	Fungi	Mont.	1	324	1848	1846	11917	5751200	10229		X	y	122602	EGHAM_SQL\kirk	2005-05-26T12:26:21+01:00	AAAAAAhmykM=
Verrucaria glaucina f. alanii	Servít	glaucina	f.							1846	ORTHOGRAPHIC VARIANT RECORD - please do not try to interpret any data on this page or on any of the linked pages							421630	421630	421630	5725		545851				sa	2020-01-08T08:53:26.033+00:00	0e31096b-d9ef-467f-8064-e17ac6f33c93												Verrucaria	Verrucariaceae	Verrucariales	Chaetothyriomycetidae	Eurotiomycetes	Pezizomycotina	Ascomycota	Fungi	Schrad.	1	108	1794	16 May-5 Jun	2406	6025000	5725		X	n	409686	CABI_UK\kirk	2001-11-29T09:04:57+00:00	AAAAAAhmvyg=
Cortinarius variicolor var. variicolor	(Pers.) Fr.	variicolor	var.							1838	ORTHOGRAPHIC VARIANT RECORD - please do not try to interpret any data on this page or on any of the linked pages							421515	494879	494879	17391		655648				sa	2022-04-30T10:38:25.22+01:00	f3f0a387-9174-451a-bf48-0f441c3ccc16	http://www.cybertruffle.org.uk/cyberliber/02485/											Cortinarius	Cortinariaceae	Agaricales	Agaricomycetidae	Agaricomycetes	Agaricomycotina	Basidiomycota	Fungi	(Pers.) Gray	1	627	1821	1 Nov	1287	1420010	17391		X	y	247773	EGHAM_SQL\KIRK	2002-12-19T13:45:33+00:00	AAAAAAhmox0=
Geastrum pampeanus var. pampeanus	Speg.	pampeanus	var.							1898	ORTHOGRAPHIC VARIANT RECORD - please do not try to interpret any data on this page or on any of the linked pages							421428	421428	421428	19141		536301				sa	2020-01-08T08:53:25.833+00:00	0f9cf765-a467-4e63-b087-4367d073424b												Geastrum	Geastraceae	Geastrales	Phallomycetidae	Agaricomycetes	Agaricomycotina	Basidiomycota	Fungi	Pers.	1	85	1794		1619	2336600	19141		X	y	153421	EGHAM_SQL\KIRK	2002-12-19T13:45:49+00:00	AAAAAAhm0NY=
Choiromyces ganglioides var. ganglioides	Zobel	ganglioides	var.							1854	ORTHOGRAPHIC VARIANT RECORD - please do not try to interpret any data on this page or on any of the linked pages							421497	421497	421497	1018		535673				sa	2021-12-29T15:40:09.437+00:00	932e64fd-03a3-4adf-974d-08e4bf3a6352												Choiromyces	Tuberaceae	Pezizales	Pezizomycetidae	Pezizomycetes	Pezizomycotina	Ascomycota	Fungi	Vittad.		50	1831		1110	1181850	1018		X	y	147587	EGHAM_SQL\KIRK	2002-12-19T13:45:28+00:00	AAAAAAhmoaY=
Heterobotrys paradoxa subsp. paradoxa	Sacc.	paradoxa	subsp.							1880	ORTHOGRAPHIC VARIANT RECORD - please do not try to interpret any data on this page or on any of the linked pages							421477	421477	421477	8520		627034				sa	2020-01-08T08:53:25.943+00:00	08a8c084-e0eb-47d8-b59b-c68340653c51												Heterobotrys	Seuratiaceae	Incertae sedis	Incertae sedis	Dothideomycetes	Pezizomycotina	Ascomycota	Fungi	Sacc.	2	21, 124	1880	25 Apr	1001	2681200	8520		X	y	627033	EGHAM_SQL\KIRK	2002-12-19T13:45:55+00:00	AAAAAAhmqg8=
Agaricus thejogalus var. thejogalus	Bull.	thejogalus	var.							1793	ORTHOGRAPHIC VARIANT RECORD - please do not try to interpret any data on this page or on any of the linked pages							421590	421590	421590	17030		520243				sa	2020-01-08T08:53:26.02+00:00	d8b74cd9-867f-4979-9d16-ccb63be2c484												Agaricus	Agaricaceae	Agaricales	Agaricomycetidae	Agaricomycetes	Agaricomycotina	Basidiomycota	Fungi	L.	2	1171	1753	1 May	1606	125500	17030		X	n	356498	EGHAM_SQL\kirk	2004-10-28T14:30:51+01:00	AAAAAAhmmuw=
Sphinctrina tubiformis var. tubiformis	A. Massal.	tubiformis	var.							1853	ORTHOGRAPHIC VARIANT RECORD - please do not try to interpret any data on this page or on any of the linked pages							421560	421560	421560	5134		631361				sa	2020-01-08T08:53:26.01+00:00	32c28476-c082-4e53-b762-c4328e010759												Sphinctrina	Sphinctrinaceae	Mycocaliciales	Mycocaliciomycetidae	Eurotiomycetes	Pezizomycotina	Ascomycota	Fungi	Fr.	1	120	1825	Dec (?)	1568	5386900	5134		X	y	247086	EGHAM_SQL\KIRK	2003-10-01T11:24:05+01:00	AAAAAAhmyWU=
Phyllosticta filipendulina var. filipendulina	Sacc. & Speg.	filipendulina	var.							1878	ORTHOGRAPHIC VARIANT RECORD - please do not try to interpret any data on this page or on any of the linked pages							421526	421526	421526	9384		655722				sa	2022-05-10T14:09:30.36+01:00	6d768cb1-c00d-48e0-ab91-c2aadeeb8807												Phyllosticta	Phyllostictaceae	Botryosphaeriales	Incertae sedis	Dothideomycetes	Pezizomycotina	Ascomycota	Fungi	Pers.		55, 147	1818		5339	4375250	9384		X	y	120222	EGHAM_SQL\KIRK	2004-01-05T11:44:36+00:00	AAAAAAhmtJ0=
Macrophoma malcomiae f. malcomiae	(Sacc.) Berl. & Voglino	malcomiae	f.							1886	ORTHOGRAPHIC VARIANT RECORD - please do not try to interpret any data on this page or on any of the linked pages							421644	658934	658934	8812		658936				sa	2022-07-07T14:40:59.683+01:00	e654a2b9-a46e-40c5-abf1-b2657c5cc7ec												Macrophoma	Botryosphaeriaceae	Botryosphaeriales	Incertae sedis	Dothideomycetes	Pezizomycotina	Ascomycota	Fungi	(Sacc.) Berl. & Voglino	10	172	1886		1129	3379900	8812		X	y	184998	EGHAM_SQL\kirk	2005-05-26T12:25:46+01:00	AAAAAAhmrkE=
Macrophoma mirbelii f. mirbelii	(Fr.) Berl. & Voglino	mirbelii	f.							1886	ORTHOGRAPHIC VARIANT RECORD - please do not try to interpret any data on this page or on any of the linked pages							421724	495086	495086	8812		530637				sa	2020-01-08T08:53:26.043+00:00	7b6918d4-b1fe-49ab-8204-5e12e930bf64												Macrophoma	Botryosphaeriaceae	Botryosphaeriales	Incertae sedis	Dothideomycetes	Pezizomycotina	Ascomycota	Fungi	(Sacc.) Berl. & Voglino	10	172	1886		1129	3379900	8812		X	y	184998	EGHAM_SQL\kirk	2005-05-26T12:25:46+01:00	AAAAAAhmrkE=
